City,2022 Pop,Latitude,Longitude
Alexandria,"155,525",38.82,77.08
Roseville,"154,817",38.77,121.32
Surprise,"154,198",33.67,112.45
Springfield,"154,064",42.12,72.54
Charleston,"153,672",32.83,79.97
Kansas City,"153,345",39.12,94.74
Sunnyvale,"153,091",37.39,122.03
Bellevue,"152,767",47.60,122.16
Hollywood,"152,650",26.03,80.16
Denton,"150,353",33.22,97.14
Escondido,"150,270",33.13,117.07
Joliet,"150,033",41.52,88.15
Naperville,"149,936",41.75,88.16
Bridgeport,"148,377",41.19,73.20
Savannah,"148,004",32.00,81.15
Mesquite,"147,899",32.76,96.59
Pasadena,"147,662",29.65,95.15
Rockford,"146,713",42.26,89.06
Pomona,"146,017",34.06,117.76
Jackson,"145,995",32.32,90.21
Olathe,"145,616",38.88,94.82
Gainesville,"145,214",29.68,82.35
McAllen,"144,579",26.22,98.25
Syracuse,"144,451",43.04,76.14
Waco,"143,984",31.56,97.19
Visalia,"143,966",36.33,119.33
Thornton,"143,282",39.92,104.94
Torrance,"141,126",33.83,118.36
Fullerton,"140,541",33.89,117.93
Columbia,"139,698",34.04,80.91
Lakewood,"139,506",40.08,74.20
New Haven,"138,915",41.31,72.92
Hampton,"138,037",37.05,76.30
Miramar,"137,228",25.97,80.34
Victorville,"137,221",34.53,117.35
Warren,"137,107",42.49,83.03
West Valley City,"136,650",40.69,112.01
Cedar Rapids,"136,429",41.97,91.68
Stamford,"136,188",41.08,73.55
Orange,"136,178",33.79,117.86
Dayton,"135,944",39.78,84.20
Midland,"134,444",32.02,102.11
Kent,"134,392",47.39,122.21
Elizabeth,"134,283",40.67,74.19
Pasadena,"134,211",34.16,118.14
Carrollton,"133,820",32.99,96.90
Coral Springs,"133,369",26.27,80.26
Sterling Heights,"132,567",42.58,83.03
Fargo,"131,444",46.86,96.83
Lewisville,"131,215",33.05,96.98
Meridian,"129,736",43.61,116.40
Norman,"129,627",35.24,97.35
Palm Bay,"129,234",27.96,80.66
Athens,"128,561",33.95,83.37
Columbia,"128,555",38.95,92.33
Abilene,"127,385",32.45,99.74
Pearland,"126,949",29.56,95.32
Santa Clara,"126,930",37.36,121.97
Round Rock,"126,697",30.53,97.66
Topeka,"125,449",39.03,95.69
Allentown,"125,094",40.59,75.48
Clovis,"124,556",36.83,119.68
Simi Valley,"124,398",34.27,118.75
College Station,"124,319",30.59,96.30
Thousand Oaks,"124,265",34.19,118.87
Vallejo,"123,564",38.11,122.26
Concord,"122,625",37.97,122.00
Rochester,"121,878",44.02,92.48
Arvada,"121,581",39.83,105.15
Lafayette,"121,389",30.21,92.03
Independence,"121,202",39.09,94.35
West Palm Beach,"120,932",26.75,80.13
Hartford,"120,686",41.77,72.68
Wilmington,"120,324",34.21,77.89
Lakeland,"120,071",28.06,81.95
Billings,"119,960",45.79,108.55
Ann Arbor,"119,875",42.28,83.73
Fairfield,"119,338",38.26,122.03
Berkeley,"118,950",37.87,122.30
Richardson,"118,802",32.97,96.71
North Charleston,"118,608",32.92,80.07
Cambridge,"118,488",42.38,71.12
Broken Arrow,"117,911",36.04,95.78
Clearwater,"117,027",27.98,82.77
West Jordan,"116,664",40.60,112.00
Evansville,"115,749",37.99,87.53
League City,"115,418",29.49,95.11
Antioch,"115,264",37.98,121.80
Manchester,"115,141",42.98,71.44
High Point,"115,067",35.99,79.99
Waterbury,"115,016",41.56,73.04
Westminster,"114,533",39.88,105.06
Richmond,"114,301",37.95,122.36
Carlsbad,"114,160",33.13,117.28
Las Cruces,"113,888",32.33,106.79
Murrieta,"113,783",33.57,117.19
Lowell,"113,608",42.64,71.32
Provo,"113,523",40.25,111.65
Springfield,"113,273",39.79,89.64
Elgin,"113,177",42.04,88.33
Odessa,"112,906",31.88,102.35
Lansing,"112,537",42.71,84.56
Pompano Beach,"112,302",26.24,80.13
Beaumont,"112,089",30.08,94.15
Temecula,"111,752",33.49,117.13
Gresham,"111,621",45.50,122.44
Allen,"111,551",33.11,96.67
Pueblo,"111,456",38.27,104.61
Everett,"111,337",47.95,122.19
South Fulton,"111,158",33.66,84.57
Peoria,"111,021",40.75,89.62
Nampa,"110,951",43.58,116.56
Tuscaloosa,"110,602",33.23,87.53
Miami Gardens,"110,497",25.95,80.24
Santa Maria,"110,125",34.93,120.44
Downey,"109,934",33.94,118.13
Concord,"109,896",35.39,80.64
Ventura,"109,527",34.27,119.25
Costa Mesa,"109,521",33.67,117.91
Sugar Land,"109,414",29.59,95.63
Menifee,"109,399",33.69,117.18
Tyler,"109,286",32.32,95.31
Sparks,"109,226",39.57,119.72
Greeley,"109,209",40.41,104.77
Rio Rancho,"108,082",35.29,106.70
Sandy Springs,"107,763",33.93,84.37
Dearborn,"107,710",42.31,83.21
Jurupa Valley,"107,609",34.00,117.47
Edison,"107,361",40.50,74.35
Spokane Valley,"107,325",47.66,117.23
Hillsboro,"107,299",45.53,122.94
Davie,"106,513",26.08,80.28
